Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[4], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/OutputScaling0/B_iA_reg[1], TimeControl/freqTrim/pid_regler0/OutputScaling0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/OutputScaling0/B_iA_reg[0], TimeControl/freqTrim/pid_regler0/OutputScaling0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Frtim_En0/PID_En_iC_reg, TimeControl/freqTrim/pid_regler0/Frtim_En0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Frtim_En0/PID_En_iA_reg, TimeControl/freqTrim/pid_regler0/Frtim_En0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[7], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[6], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[5], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[4], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[3], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[2], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[1], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
